lag,n_folds,mean_rmse,median_rmse,std_rmse,se_rmse,fold_rmses
11,8,3.750910851269299,3.4913487493660016,1.3753211961463578,0.4862494720523417,"[3.0548893454274006, 1.677234295285944, 3.4872163089118113, 3.9783972647470747, 3.495481189820192, 4.319634952278877, 6.552762513146413, 3.4416709405366794]"
12,8,3.7672103801213424,3.566093896927428,1.3665193777992617,0.48313755933233976,"[3.175798149394772, 1.6364889718350102, 3.321704979023749, 4.006741966359202, 3.6518095971002715, 4.363535376910651, 6.501225803592497, 3.480378196754584]"
13,8,3.780298802810525,3.601898580832673,1.4051833671559288,0.4968073438632517,"[3.3754561550125737, 1.2128672928512725, 3.615032364937879, 4.264732354770823, 3.588764796727467, 4.432560800761805, 6.279840945646036, 3.4731357117763477]"
10,8,3.813671228805396,3.8173845684281655,1.4386111810858992,0.5086258608183138,"[2.985540830288861, 1.4243311825792129, 4.208538121385262, 4.382068329531231, 3.4262310154710693, 4.27905433782164, 6.463648242754844, 3.3399577706110506]"
14,8,3.8458607056880734,3.8442478487704275,1.457783917252269,0.5154044466968841,"[3.390071526295954, 0.9842828836193954, 4.198940295281048, 4.663393193723336, 3.482035880835151, 4.467606013269345, 6.091000450220553, 3.489555402259807]"
9,8,3.854152410474731,3.8603485796858674,1.676563239691355,0.5927546179369221,"[2.452739231059797, 1.1523118745500602, 5.207483542027017, 4.4847528609637415, 3.4591231610372963, 4.2615739983344385, 6.587106780575212, 3.2281278352502896]"
8,8,4.0322856214073095,4.329907569680838,1.8103884926523257,0.6400689898682758,"[2.2954923949229236, 1.1195916527458227, 5.812801147541967, 4.536780067654947, 4.496714377988878, 4.163100761372798, 6.680373074814308, 3.1534314942168358]"
6,8,4.115824073075151,3.9738424071450993,1.9899269765066423,0.7035454295769451,"[2.157971270895555, 1.3477261482568217, 6.744024870817766, 4.263593410816474, 5.366692540626301, 3.6840914034737238, 6.539117116767876, 2.823375822946691]"
7,8,4.252480550639541,4.335538546649598,2.0081767811607323,0.7099977098900636,"[2.215450137551111, 1.46755659353098, 7.140436749556957, 4.771832595380763, 4.886207276405956, 3.899244497918433, 6.628503608034299, 3.0106129467378318]"
