id,brand,dtw_distance,dtw_normalized,mean_lag_weeks,median_lag_weeks,lag_direction,cc_best_lag_weeks,cc_max_corr,deseason_method,n_weeks,created_at
9,nike,13.984,0.0402,-26.82,-31.5,Global leads,-35,0.4151,residual,348,2026-04-30 10:14:52.875530+00:00
1,nike,20.5124,0.0589,70.44,73.0,Korea leads,-244,0.3317,search_index,348,2026-04-30 10:07:43.336589+00:00
5,nike,31.4421,0.0904,-99.12,-94.0,Global leads,-208,0.399,trend,348,2026-04-30 10:14:22.360129+00:00
10,adidas,12.3451,0.0355,-12.84,-12.0,Global leads,-10,0.3565,residual,348,2026-04-30 10:14:52.875530+00:00
2,adidas,9.7578,0.028,14.0,4.0,Korea leads,2,0.471,search_index,348,2026-04-30 10:07:43.336589+00:00
6,adidas,7.3043,0.021,-17.27,-9.0,Global leads,0,0.793,trend,348,2026-04-30 10:14:22.360129+00:00
11,puma,11.3876,0.0327,-25.13,-24.0,Global leads,-42,0.4787,residual,348,2026-04-30 10:14:52.875530+00:00
3,puma,14.835,0.0426,-57.05,-58.0,Global leads,2,0.2307,search_index,348,2026-04-30 10:07:43.336589+00:00
7,puma,8.2179,0.0236,-26.16,-13.0,Global leads,0,0.7804,trend,348,2026-04-30 10:14:22.360129+00:00
12,new_balance,13.5229,0.0389,-42.19,-38.0,Global leads,-34,0.375,residual,348,2026-04-30 10:14:52.875530+00:00
4,new_balance,14.3692,0.0413,-48.02,-53.0,Global leads,-56,0.5066,search_index,348,2026-04-30 10:07:43.336589+00:00
8,new_balance,8.6081,0.0247,-10.4,-4.0,Global leads,-9,0.7293,trend,348,2026-04-30 10:14:22.360129+00:00
