week_start,search_index,is_anomaly_week,lstm_forecast,lstm_error
2025-10-26,18.74,0,19.865076567530632,-1.125076567530634
2025-11-02,20.42,0,19.528974213004112,0.8910257869958897
2025-11-09,20.42,0,19.39979356586933,1.020206434130671
2025-11-16,22.28,0,19.482767095565794,2.797232904434207
2025-11-23,26.92,0,19.626053812503816,7.293946187496186
2025-11-30,23.2,0,19.658488762974738,3.5415112370252615
2025-12-07,19.49,0,19.571697875857353,-0.08169787585735477
2025-12-14,21.35,0,19.51623157978058,1.833768420219421
2025-12-21,21.35,0,19.704731655716895,1.6452683442831066
2025-12-28,19.49,0,20.200749618411063,-0.7107496184110644
2026-01-04,18.56,0,20.859892366528513,-2.299892366528514
2026-01-11,17.64,0,21.426917682290078,-3.7869176822900776
2026-01-18,17.64,0,21.715783385634424,-4.075783385634423
2026-01-25,17.64,0,21.753609806895255,-4.113609806895255
2026-02-01,17.64,0,21.71938211619854,-4.079382116198538
2026-02-08,17.64,0,21.79176085591316,-4.15176085591316
2026-02-15,19.49,0,21.989859313368797,-2.4998593133687983
2026-02-22,21.35,0,22.175888243317605,-0.8258882433176034
2026-03-01,23.2,0,22.17992025256157,1.0200797474384302
2026-03-08,23.2,0,21.93177082002163,1.2682291799783698
2026-03-15,23.2,0,21.61564433515072,1.58435566484928
2026-03-22,23.2,0,21.441781658530235,1.7582183414697639
2026-03-29,23.2,0,21.498094636797905,1.7019053632020942
2026-04-05,22.28,0,21.672778820395468,0.607221179604533
2026-04-12,20.42,0,21.66380584418774,-1.2438058441877367
2026-04-19,20.42,1,21.36059556901455,-0.9405955690145476
